KeyName,LnkName,KeyLastWriteTimestamp
services.lnk|701369eeb35d6005,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk,2025-07-09 15:50:34
snipping tool.ln|734ae0b30b37a6fa,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk,2025-07-09 15:50:30
sophos diagnosti|fc8e4d58f9c16a0,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Sophos\Sophos Diagnostic Utility\Sophos Diagnostic Utility.lnk,2025-07-09 15:50:50
sophos endpoint |3298eaef12a7176e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Sophos\Sophos Endpoint Agent.lnk,2025-07-09 15:50:52
speech recogniti|5d57f1973bdd5430,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessibility\Speech Recognition.lnk,2025-07-09 15:50:29
steps recorder.l|87b62a644197e790,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk,2025-07-09 15:50:30
sticky notes (ne|fe0540c9bae14d01,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Sticky Notes (new).lnk,2025-07-09 15:50:52
system configura|82500ada25d8af21,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Configuration.lnk,2025-07-09 15:50:34
system informati|47a9a0488f6fea8b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Information.lnk,2025-07-09 15:50:34
task manager.lnk|4502f59f3e4accf5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Task Manager.lnk,2025-07-09 15:50:54
task scheduler.l|70d35f1a0016a328,c:\users\client\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Task Scheduler.lnk,2025-07-09 15:51:30
task scheduler.l|a1ccac43511808e1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk,2025-07-09 15:50:34
windows defender|9641b1036d9d2c34,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,2025-07-09 15:50:34
