USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         195  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_17]
root         196  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_17]
root         197  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_18]
root         198  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_18]
root         199  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_19]
root         200  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_19]
root         201  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_20]
root         202  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_20]
root         203  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_21]
root         204  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_21]
root         205  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_22]
root         206  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_22]
root         207  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_23]
root         208  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_23]
root         209  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_24]
root         210  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_24]
root         211  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_25]
root         212  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_25]
root         213  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_26]
root         214  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_26]
root         215  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_27]
root         216  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_27]
root         217  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_28]
root         218  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_28]
root         219  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_29]
root         220  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_29]
root         221  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_30]
root         222  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_30]
root         223  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_31]
root         224  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_31]
root         253  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_32]
root         254  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_32]
root         291  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [jbd2/sda3-8]
root         292  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [ext4-rsv-conver]
root         395  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [jbd2/sda1-8]
root         397  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [ext4-rsv-conver]
root         464  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [irq/57-vmw_vmci]
root         468  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [irq/58-vmw_vmci]
root         469  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [irq/59-vmw_vmci]
root         794  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [irq/16-vmwgfx]
root         799  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [cryptd]
root         964  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [tls-strp]
root        3439  0.0  0.0      0     0 ?        I    15:54   0:00  \_ [kworker/u256:1-ext4-rsv-conversion]
root        3442  0.0  0.0      0     0 ?        I    15:54   0:00  \_ [kworker/0:3-cgroup_destroy]
root        3663  0.0  0.0      0     0 ?        I    15:59   0:00  \_ [kworker/u256:0-flush-8:0]
root        3689  0.3  0.0      0     0 ?        I    16:00   0:01  \_ [kworker/0:0-events]
root        3870  0.0  0.0      0     0 ?        I    16:05   0:00  \_ [kworker/u256:2-events_unbound]
root        3876  0.0  0.0      0     0 ?        I    16:05   0:00  \_ [kworker/u256:3-events_unbound]
root        3915  0.0  0.0      0     0 ?        I    16:05   0:00  \_ [kworker/0:1-events]
root           1  0.0  0.6 102148 12176 ?        Ss   09:30   0:03 /sbin/init
root         333  0.0  1.3  57876 25948 ?        Ss   09:30   0:03 /lib/systemd/systemd-journald
root         355  0.0  0.2  26300  5824 ?        Ss   09:30   0:00 /lib/systemd/systemd-udevd
root         408  0.0  0.0   2716   140 ?        Ss   09:30   0:00 /opt/CrowdStrike/falcond
root         409  0.8  6.0 538628 119092 ?       Sl   09:30   3:28  \_ falcon-sensor-bpf
systemd+     416  0.0  0.3  90092  6652 ?        Ssl  09:30   0:00 /lib/systemd/systemd-timesyncd
root         424  0.0  0.5  52368 11156 ?        Ss   09:30   0:00 /usr/bin/VGAuthService
root         425  0.2  0.4 240880  8920 ?        Ssl  09:30   0:53 /usr/bin/vmtoolsd
root         444  0.0  0.1   5872  3464 ?        Ss   09:30   0:00 dhclient -4 -v -i -pf /run/dhclient.ens33.pid -lf /var/lib/dhcp/dhclient.ens33.leases -I -df /var/lib/dhcp/dhclient6.ens33.leases ens33
root         456  0.0  0.1   6612  2712 ?        Ss   09:30   0:00 /usr/sbin/cron -f
message+     457  0.0  0.2   9260  5092 ?        Ss   09:30   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         460  0.0  0.4  17232  8068 ?        Ss   09:30   0:00 /lib/systemd/systemd-logind
root         536  0.0  0.2   6128  3992 tty1     Ss   09:30   0:00 /bin/login -p --
root         993  0.0  0.2   9580  5724 tty1     S+   09:30   0:00  \_ -bash
