USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root              1160   0.0  0.0 426953568   2608   ??  Ss    8:08PM   0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer         1155   0.0  0.2 426931280  10768   ??  S     8:08PM   0:00.93 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
developer         1152   0.0  0.0 426953616   2624   ??  Ss    8:08PM   0:00.30 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer         1137   0.0  0.1 426884400   3200   ??  S     8:07PM   0:00.10 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
developer         1136   0.0  0.1 426913120   4544   ??  S     8:07PM   0:00.06 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
root              1134   0.0  0.1 426917552   5408   ??  Ss    8:07PM   0:00.10 /usr/sbin/WirelessRadioManagerd
developer         1133   0.0  0.1 426924672   7184   ??  S     8:07PM   0:00.26 /System/Library/PrivateFrameworks/People.framework/peopled
developer         1131   0.0  0.1 426919456   7504   ??  S     8:07PM   0:00.37 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
developer         1130   0.0  0.1 431243072   5520   ??  S     8:07PM   0:00.18 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated
developer         1122   0.0  0.2 426937728  11072   ??  S     8:07PM   0:00.72 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
developer         1114   0.0  0.1 426921968   6320   ??  S     8:07PM   0:00.14 /usr/libexec/keyboardservicesd
developer         1112   0.0  0.1 426916400   4784   ??  S     8:07PM   0:00.09 /usr/libexec/naturallanguaged
developer         1111   0.0  0.1 427036400   9312   ??  S     8:07PM   0:00.68 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
root              1091   0.0  0.0 426883760   2848   ??  Ss    8:07PM   0:00.03 /usr/libexec/betaenrollmentd
developer         1090   0.0  0.1 426917616   4320   ??  S     8:07PM   0:00.05 /usr/libexec/betaenrollmentagent
developer         1060   0.0  0.1 426880112   4544   ??  S     8:05PM   0:00.03 /usr/libexec/backgroundassets.user
root              1059   0.0  0.1 426918352   5056   ??  Ss    8:05PM   0:00.04 /usr/libexec/ospredictiond
developer         1038   0.0  0.0 426884736   2864   ??  S     8:05PM   0:00.05 /usr/libexec/seserviced
developer         1037   0.0  0.1 426894192   5280   ??  S     8:05PM   0:00.11 /usr/libexec/mlhostd
developer         1028   0.0  0.0 426918416    320   ??  Ss    8:05PM   0:00.69 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
developer         1027   0.0  0.1 426920832   5520   ??  S     8:05PM   0:00.19 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
developer         1025   0.0  0.1 426917120   4944   ??  S     8:05PM   0:00.11 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
root              1021   0.0  0.0 426884736   2896   ??  Ss    8:05PM   0:00.06 /usr/libexec/ASPCarryLog
developer         1011   0.0  0.1 411180752   6672   ??  Ss    8:04PM   0:00.39 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
developer         1009   0.0  0.1 426921200   5840   ??  Ss    8:04PM   0:00.32 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
developer         1007   0.0  0.1 426879728   4464   ??  S     8:04PM   0:00.02 /usr/libexec/feedbackd
developer         1005   0.0  0.3 426959600  19184   ??  S     8:04PM   0:03.26 /usr/libexec/duetexpertd
_audiomxd          974   0.0  0.1 426918624   7408   ??  Ss    8:03PM   0:00.17 /usr/libexec/audiomxd
_sophosencryption   958   0.0  0.0 426883728   1776   ??  S     8:03PM   0:00.10 /usr/sbin/distnoted agent
developer          847   0.0  0.1 426924208   6976   ??  S     8:02PM   0:00.20 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
developer          845   0.0  0.1 426920192   8592   ??  S     8:02PM   0:00.29 /usr/libexec/tipsd
_rmd               843   0.0  0.1 410753904   3792   ??  Ss    8:01PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
