USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               287   0.0  0.1 411179856   3632   ??  Ss    7:59PM   0:00.92 /Library/SophosCBR/SophosCBR.bundle/Contents/MacOS/SophosCBR
root               279   0.0  0.1 426928416   7696   ??  Ss    7:59PM   0:00.27 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
_softwareupdate    272   0.0  0.1 431326816   7904   ??  Ss    7:59PM   0:04.54 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root               270   0.0  0.1 426920016   5456   ??  Ss    7:59PM   0:00.29 /System/Library/CoreServices/TimeMachine/backupd
root               269   0.0  0.0 426883312   2320   ??  Ss    7:59PM   0:00.04 /usr/libexec/apfsd
root               267   0.0  0.1 426917104   4448   ??  Ss    7:59PM   0:00.10 /usr/libexec/findmybeaconingd
root               266   0.0  0.0 426918336   2896   ??  Ss    7:59PM   0:00.09 /usr/libexec/securityd_system
_cmiodalassistants   254   0.0  0.1 426917776   6272   ??  Ss    7:59PM   0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
root               253   0.0  0.1 410886224   3216   ??  Ss    7:59PM   0:01.04 /usr/libexec/audioclocksyncd
_nsurlsessiond     252   0.0  0.1 426930352   8400   ??  Ss    7:59PM   0:00.35 /usr/libexec/nsurlsessiond --privileged
_cmiodalassistants   250   0.0  0.1 426916816   5552   ??  Ss    7:59PM   0:00.07 /usr/libexec/cameracaptured
_cmiodalassistants   240   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.12 /usr/sbin/distnoted agent
root               242   0.0  0.1 426917760   3152   ??  Ss    7:59PM   0:00.09 /usr/sbin/mDNSResponderHelper
root               241   0.0  0.1 426919200   5360   ??  Ss    7:59PM   0:00.22 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root               224   0.0  0.1 426917888   5168   ??  Ss    7:59PM   0:00.07 /usr/libexec/findmydeviced
root               225   0.0  0.1 426927152   8224   ??  Ss    7:59PM   0:01.05 /usr/libexec/nehelper
_driverkit         219   0.0  0.0 426851472    480   ??  Ss    7:59PM   0:00.03 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000300 com.apple.AppleUserHIDDrivers
_driverkit         218   0.0  0.0 426851456    480   ??  Ss    7:59PM   0:00.04 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x1000002ff com.apple.DriverKit-IOUserDockChannelSerial
_biome             216   0.0  0.1 426917152   7632   ??  Ss    7:59PM   0:00.28 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
_appleevents       211   0.0  0.1 426917632   5232   ??  Ss    7:59PM   0:00.17 /System/Library/CoreServices/appleeventsd --server
_coreaudiod        206   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.13 /usr/sbin/distnoted agent
root               207   0.0  0.1 426883728   4464   ??  Ss    7:59PM   0:00.44 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
_coreaudiod        201   0.0  0.2 426946528  10192   ??  Ss    7:59PM   0:01.53 /usr/sbin/coreaudiod
root               198   0.0  0.2 426938352  12096   ??  Ss    7:59PM   0:10.89 /usr/libexec/syspolicyd
_windowserver      196   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.14 /usr/sbin/distnoted agent
_analyticsd        164   0.0  0.1 426928224   8880   ??  Ss    7:59PM   0:00.91 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
root               194   0.0  0.1 426923456   6704   ??  Ss    7:59PM   0:01.95 /usr/libexec/storagekitd
root               192   0.0  0.1 426918992   5664   ??  Ss    7:59PM   0:00.14 /usr/libexec/eligibilityd
root               190   0.0  0.1 426920144   8336   ??  Ss    7:59PM   0:00.73 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root               189   0.0  0.1 426916384   3856   ??  Ss    7:59PM   0:00.06 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               187   0.0  0.1 426929216   6528   ??  Ss    7:59PM   0:08.43 /usr/libexec/mobileassetd
root               179   0.0  0.0 426883728   2000   ??  S     7:59PM   0:00.14 /usr/sbin/distnoted agent
root               184   0.0  0.1 426917520   3168   ??  Ss    7:59PM   0:00.04 /usr/libexec/trustdFileHelper
root              1710   0.0  0.0 410733392   2032 s000  R+    8:22PM   0:00.01 ps aux
root               180   0.0  0.0 410916896   2864   ??  Ss    7:59PM   0:00.12 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root               178   0.0  0.2 426922880  11840   ??  Ss    7:59PM   0:01.98 /usr/libexec/airportd
_locationd         136   0.0  0.2 426942320  11216   ??  Ss    7:59PM   0:01.21 /usr/libexec/locationd
_iconservices      117   0.0  0.1 426917520   4720   ??  Ss    7:59PM   0:00.06 /System/Library/CoreServices/iconservicesd
_accessoryupdater    98   0.0  0.1 426919520   6640   ??  Ss    7:59PM   0:02.60 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
root               170   0.0  0.0 426879088   2832   ??  Ss    7:59PM   0:00.04 /usr/libexec/PowerUIAgent
root               165   0.0  0.2 426927888  10304   ??  Ss    7:59PM   0:00.52 /usr/libexec/lsd runAsRoot
root               161   0.0  0.2 426931968  14016   ??  Ss    7:59PM   0:04.91 /usr/libexec/runningboardd
_timed             131   0.0  0.1 426917744   3440   ??  Ss    7:59PM   0:00.09 /usr/libexec/timed
_corespeechd       110   0.0  0.0 410654288   2128   ??  Ss    7:59PM   0:00.03 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
_usbmuxd           132   0.0  0.0 426927680   2544   ??  Ss    7:59PM   0:00.14 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
developer          160   0.0  0.2 411234224  12352   ??  Ss    7:59PM   0:01.79 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               158   0.0  0.2 426929200  14688   ??  Ss    7:59PM   0:02.91 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               102   0.0  0.0 426879696   1616   ??  Ss    7:59PM   0:00.01 /usr/libexec/IOMFB_bics_daemon
root               144   0.0  0.2 426922784  13312   ??  Ss    7:59PM   0:01.89 /usr/libexec/PerfPowerServices
root               145   0.0  0.0 426879600    416   ??  Ss    7:59PM   0:00.07 /usr/libexec/dirhelper
root               137   0.0  0.1 426918576   5936   ??  Ss    7:59PM   0:00.27 /usr/libexec/nesessionmanager
root               130   0.0  0.2 426920224  10400   ??  Ss    7:59PM   0:02.42 /System/Library/CoreServices/launchservicesd
root               156   0.0  0.1 426919008   7648   ??  Ss    7:59PM   0:00.23 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               122   0.0  0.2 426936064  13504   ??  Ss    7:59PM   0:00.57 /usr/libexec/coreduetd
root                96   0.0  0.2 426928800  10176   ??  Ss    7:59PM   0:00.40 /usr/sbin/systemstats --daemon
root                89   0.0  0.1 426884448   3408   ??  Ss    7:59PM   0:00.07 /usr/libexec/smd
root                93   0.0  0.2 426923072   9648   ??  Ss    7:59PM   0:00.74 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               147   0.0  0.0 426918144   2944   ??  Ss    7:59PM   0:00.08 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               149   0.0  0.1 426883648   4576   ??  Ss    7:59PM   0:00.09 /usr/libexec/usermanagerd -t 15
root               157   0.0  0.0 426883440    448   ??  Ss    7:59PM   0:00.02 aslmanager
root               123   0.0  0.0 426884624   1504   ??  Ss    7:59PM   0:00.15 /usr/sbin/syslogd
root               118   0.0  0.1 426921280   4640   ??  Ss    7:59PM   0:01.01 /usr/libexec/kernelmanagerd
root               139   0.0  0.0 426879648   2176   ??  Ss    7:59PM   0:00.02 autofsd
root               101   0.0  0.1 426918672   7184   ??  Ss    7:59PM   0:00.73 /System/Library/CoreServices/powerd.bundle/powerd
root               106   0.0  0.0 426917376   2560   ??  Ss+   7:59PM   0:00.04 /usr/libexec/remoted
root                99   0.0  0.1 426921632   7920   ??  Ss    7:59PM   0:00.54 /usr/libexec/configd
root               104   0.0  0.1 426917776   3664   ??  Ss    7:59PM   0:00.67 /usr/libexec/amfid
root               143   0.0  0.0 426917040   2368   ??  Ss    7:59PM   0:00.02 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
root               134   0.0  0.0 426879040   1088   ??  Ss    7:59PM   0:00.01 auditd -l
root               133   0.0  0.1 426919408   6672   ??  Ss    7:59PM   0:00.51 /usr/sbin/securityd -i
root               129   0.0  0.1 426921712   7568   ??  Ss    7:59PM   0:00.97 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               126   0.0  0.1 426917520   4784   ??  Ss    7:59PM   0:00.23 /usr/libexec/thermalmonitord
root               155   0.0  0.1 426919376   8256   ??  Ss    7:59PM   0:00.34 /usr/libexec/AirPlayXPCHelper
root               154   0.0  0.1 426916944   5536   ??  Ss    7:59PM   0:00.21 /usr/libexec/corebrightnessd --launchd
root               146   0.0  0.1 426883264   3456   ??  Ss    7:59PM   0:00.08 /System/Library/CoreServices/logind
root               151   0.0  0.2 426930896  11936   ??  Ss    7:59PM   0:01.09 /usr/sbin/bluetoothd
root               153   0.0  0.1 426918416   3168   ??  Ss    7:59PM   0:00.33 /usr/libexec/sandboxd
root               148   0.0  0.0 426879664   1280   ??  Ss    7:59PM   0:00.01 /usr/sbin/KernelEventAgent
root               177   0.0  0.0 426883760   2016   ??  S     7:59PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
root              1706   0.0  0.1 426918448   7936   ??  Ss    8:22PM   0:00.14 /System/Library/Frameworks/Security.framework/Versions/A/MachServices/authorizationhost.bundle/Contents/MacOS/authorizationhost
developer         1704   0.0  1.1 411397280  66112   ??  S     8:22PM   0:00.51 /System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent
root              1550   0.0  0.1 410883968   3568 s000  Ss    8:21PM   0:00.05 login -pf developer
developer         1547   0.0  0.1 410885088   3552   ??  S     8:20PM   0:00.07 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
root              1546   0.0  0.1 426917056   4592   ??  Ss    8:20PM   0:00.17 /usr/libexec/wallpaperexportd
developer         1545   0.0  0.1 410812944   9248   ??  Ss    8:20PM   0:00.13 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
developer         1544   0.0  0.1 426893744   6240   ??  Ss    8:20PM   0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer         1534   0.0  0.1 426918128   5024   ??  S     8:20PM   0:00.07 /System/Library/CoreServices/ScopedBookmarkAgent
developer         1533   0.0  0.1 426917424   6688   ??  S     8:20PM   0:00.13 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
developer         1530   0.0  0.4 427110400  28192   ??  S     8:20PM   0:00.33 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
developer         1519   0.0  0.3 426953792  17744   ??  Ss    8:20PM   0:00.34 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
developer         1518   0.0  0.3 411381808  19040   ??  S     8:20PM   0:00.58 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
developer         1515   0.0  0.1 426884816   3424   ??  S     8:19PM   0:00.05 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
developer         1512   0.0  0.4 411092384  25648   ??  Ss    8:19PM   0:02.77 /System/Library/ExtensionKit/Extensions/SecurityPrivacyExtension.appex/Contents/MacOS/SecurityPrivacyExtension
_diskimagesiod    1457   0.0  0.1 426951840   3168   ??  Ss    8:18PM   0:00.09 /usr/libexec/diskimagesiod
developer         1450   0.0  0.1 426919968   6960   ??  S     8:17PM   0:00.58 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
developer         1408   0.0  0.1 426917648   4416   ??  S     8:16PM   0:00.02 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
root              1371   0.0  0.0 410875632   2928   ??  Ss    8:14PM   0:00.04 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
developer         1359   0.0  0.1 411058576   3200   ??  S     8:12PM   0:00.28 /Applications/Wireshark.app/Contents/MacOS/dumpcap --log-level MESSAGE -F pcapng -i en0 --ifdescr Ethernet -Z 4
root              1350   0.0  0.0 410122464   1728   ??  Ss    8:11PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
_diskimagesiod    1342   0.0  0.1 426951840   3168   ??  Ss    8:11PM   0:00.09 /usr/libexec/diskimagesiod
developer         1340   0.0  0.1 426917920   5072   ??  Ss    8:11PM   0:00.06 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
developer         1336   0.0  0.2 426921616   9840   ??  S     8:11PM   0:00.32 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
root              1333   0.0  0.0 426891488   2784   ??  Ss    8:11PM   0:00.08 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
developer         1331   0.0  0.1 410786720   3248   ??  Ss    8:11PM   0:00.04 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
developer         1330   0.0  0.1 426922224   8656   ??  S     8:11PM   0:00.29 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
_neuralengine     1325   0.0  0.1 426918480   3856   ??  Ss    8:11PM   0:00.05 /usr/libexec/aneuserd
developer         1328   0.0  0.0 426879680   2304   ??  S     8:11PM   0:00.04 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
_assetcache       1329   0.0  0.1 426919872   4336   ??  Ss    8:11PM   0:00.07 /usr/libexec/AssetCache/AssetCache
root              1327   0.0  0.1 426917920   3920   ??  Ss    8:11PM   0:00.04 /usr/libexec/aned
root              1326   0.0  0.0 426883760   2736   ??  Ss    8:11PM   0:00.03 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
developer         1323   0.0  0.2 426921760   9872   ??  S     8:11PM   0:00.32 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
developer         1324   0.0  0.1 426916688   6448   ??  S     8:11PM   0:00.13 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
developer         1321   0.0  0.2 410757184  12832   ??  Ss    8:11PM   0:00.72 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
developer         1320   0.0  0.1 426917536   5584   ??  S     8:11PM   0:00.20 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
developer         1317   0.0  0.1 426917792   4336   ??  S     8:11PM   0:00.08 /usr/libexec/MTLAssetUpgraderD
developer         1319   0.0  0.1 426935472   8944   ??  S     8:11PM   0:00.20 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
developer         1318   0.0  0.1 410753216   3936   ??  S     8:11PM   0:00.08 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
root              1314   0.0  0.0 426883184   2336   ??  Ss    8:10PM   0:00.03 /usr/libexec/colorsyncd
developer         1313   0.0  0.0 426879648   1696   ??  Ss    8:10PM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
developer         1312   0.0  0.0 426917584   2832   ??  S     8:10PM   0:00.03 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
developer         1311   0.0  0.5 411411824  32160   ??  S     8:10PM   0:01.30 /Applications/Sophos/Sophos Endpoint.app/Contents/MacOS/Sophos Endpoint
developer         1309   0.0  0.2 426953808  11728   ??  Ss    8:10PM   0:00.14 /System/Library/ExtensionKit/Extensions/FSKitModuleManagement.appex/Contents/MacOS/FSKitModuleManagement
developer         1308   0.0  0.2 426954112  11552   ??  Ss    8:10PM   0:00.15 /System/Library/ExtensionKit/Extensions/SettingsSystemExtensionController.appex/Contents/MacOS/SettingsSystemExtensionController
developer         1307   0.0  0.2 426953936  11392   ??  Ss    8:10PM   0:00.14 /System/Library/ExtensionKit/Extensions/MediaExtensionsSettingsController.appex/Contents/MacOS/MediaExtensionsSettingsController
