2025-07-21 17:41:23 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2025-07-21 17:41:23 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 install adduser:all <none> 3.134
2025-07-21 17:41:23 status half-installed adduser:all 3.134
2025-07-21 17:41:23 status unpacked adduser:all 3.134
2025-07-21 17:41:23 install libcom-err2:amd64 <none> 1.47.0-2
2025-07-21 17:41:23 status half-installed libcom-err2:amd64 1.47.0-2
2025-07-21 17:41:23 status unpacked libcom-err2:amd64 1.47.0-2
2025-07-21 17:41:23 install init-system-helpers:all <none> 1.65.2
2025-07-21 17:41:23 status half-installed init-system-helpers:all 1.65.2
2025-07-21 17:41:23 status unpacked init-system-helpers:all 1.65.2
2025-07-21 17:41:23 upgrade base-files:amd64 12.4+deb12u11 12.4+deb12u11
2025-07-21 17:41:23 status half-configured base-files:amd64 12.4+deb12u11
2025-07-21 17:41:23 status unpacked base-files:amd64 12.4+deb12u11
2025-07-21 17:41:23 status half-installed base-files:amd64 12.4+deb12u11
2025-07-21 17:41:23 status unpacked base-files:amd64 12.4+deb12u11
2025-07-21 17:41:23 install libdebconfclient0:amd64 <none> 0.270
2025-07-21 17:41:23 status half-installed libdebconfclient0:amd64 0.270
2025-07-21 17:41:23 status unpacked libdebconfclient0:amd64 0.270
2025-07-21 17:41:23 upgrade base-passwd:amd64 3.6.1 3.6.1
2025-07-21 17:41:23 status half-configured base-passwd:amd64 3.6.1
2025-07-21 17:41:23 status unpacked base-passwd:amd64 3.6.1
2025-07-21 17:41:23 status half-installed base-passwd:amd64 3.6.1
2025-07-21 17:41:23 status unpacked base-passwd:amd64 3.6.1
2025-07-21 17:41:23 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2025-07-21 17:41:23 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2025-07-21 17:41:23 status unpacked debianutils:amd64 5.7-0.5~deb12u1
2025-07-21 17:41:23 install bash:amd64 <none> 5.2.15-2+b8
2025-07-21 17:41:23 status half-installed bash:amd64 5.2.15-2+b8
2025-07-21 17:41:23 status unpacked bash:amd64 5.2.15-2+b8
2025-07-21 17:41:23 install libattr1:amd64 <none> 1:2.5.1-4
2025-07-21 17:41:23 status half-installed libattr1:amd64 1:2.5.1-4
2025-07-21 17:41:23 status unpacked libattr1:amd64 1:2.5.1-4
2025-07-21 17:41:23 install coreutils:amd64 <none> 9.1-1
2025-07-21 17:41:23 status half-installed coreutils:amd64 9.1-1
2025-07-21 17:41:24 status unpacked coreutils:amd64 9.1-1
2025-07-21 17:41:24 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-07-21 17:41:24 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-07-21 17:41:24 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-07-21 17:41:24 install dash:amd64 <none> 0.5.12-2
2025-07-21 17:41:24 status half-installed dash:amd64 0.5.12-2
2025-07-21 17:41:24 status unpacked dash:amd64 0.5.12-2
2025-07-21 17:41:24 install diffutils:amd64 <none> 1:3.8-4
2025-07-21 17:41:24 status half-installed diffutils:amd64 1:3.8-4
2025-07-21 17:41:24 status unpacked diffutils:amd64 1:3.8-4
2025-07-21 17:41:24 install libblkid1:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:24 status half-installed libblkid1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:24 status unpacked libblkid1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:24 install libext2fs2:amd64 <none> 1.47.0-2
2025-07-21 17:41:24 status half-installed libext2fs2:amd64 1.47.0-2
2025-07-21 17:41:24 status unpacked libext2fs2:amd64 1.47.0-2
2025-07-21 17:41:24 install e2fsprogs:amd64 <none> 1.47.0-2
2025-07-21 17:41:24 status half-installed e2fsprogs:amd64 1.47.0-2
2025-07-21 17:41:24 status unpacked e2fsprogs:amd64 1.47.0-2
2025-07-21 17:41:24 install findutils:amd64 <none> 4.9.0-4
2025-07-21 17:41:24 status half-installed findutils:amd64 4.9.0-4
2025-07-21 17:41:24 status unpacked findutils:amd64 4.9.0-4
2025-07-21 17:41:24 install libc-bin:amd64 <none> 2.36-9+deb12u10
2025-07-21 17:41:24 status half-installed libc-bin:amd64 2.36-9+deb12u10
2025-07-21 17:41:24 status unpacked libc-bin:amd64 2.36-9+deb12u10
2025-07-21 17:41:24 install grep:amd64 <none> 3.8-5
2025-07-21 17:41:24 status half-installed grep:amd64 3.8-5
2025-07-21 17:41:24 status unpacked grep:amd64 3.8-5
2025-07-21 17:41:24 install gzip:amd64 <none> 1.12-1
2025-07-21 17:41:24 status half-installed gzip:amd64 1.12-1
2025-07-21 17:41:24 status unpacked gzip:amd64 1.12-1
2025-07-21 17:41:24 install hostname:amd64 <none> 3.23+nmu1
2025-07-21 17:41:24 status half-installed hostname:amd64 3.23+nmu1
2025-07-21 17:41:24 status unpacked hostname:amd64 3.23+nmu1
2025-07-21 17:41:24 install libmount1:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:24 status half-installed libmount1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:24 status unpacked libmount1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:24 install bsdutils:amd64 <none> 1:2.38.1-5+deb12u3
2025-07-21 17:41:24 status half-installed bsdutils:amd64 1:2.38.1-5+deb12u3
2025-07-21 17:41:24 status unpacked bsdutils:amd64 1:2.38.1-5+deb12u3
2025-07-21 17:41:24 install libunistring2:amd64 <none> 1.0-2
2025-07-21 17:41:24 status half-installed libunistring2:amd64 1.0-2
2025-07-21 17:41:24 status unpacked libunistring2:amd64 1.0-2
2025-07-21 17:41:24 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
